symbol,line,date,sampleID,scene,shape,size,stack,gfp,brDisc,brDisc_gfp,brDisc_gfpNEG,KDtoWT
Arp5,33009,210512,Arp5_33009_210512,Series002,1.3.10.1024.1024,1024x1024,10,25.656428337097168,27.39968776702881,10.714173316955566,12.870403289794922,0.8324660133572463
Arp5,33009,210512,Arp5_33009_210512,Series003,1.3.10.1024.1024,1024x1024,10,27.011268615722656,39.647226333618164,15.407511711120605,18.071974754333496,0.8525638133389946
Arp5,33009,210512,Arp5_33009_210512,Series004,1.3.10.1024.1024,1024x1024,10,29.323688507080078,37.6371488571167,15.732656478881836,15.985174179077148,0.984203006025056
Ino80,33708,210512,Ino80_33708_210512,Series001,1.3.10.1024.1024,1024x1024,10,24.43501091003418,32.94376564025879,12.742599487304688,14.840354919433594,0.8586451979405241
Ino80,33708,210512,Ino80_33708_210512,Series002,1.3.10.1024.1024,1024x1024,10,26.793542861938477,39.49486827850342,15.58648681640625,18.61882495880127,0.8371359014811722
Ino80,33708,210512,Ino80_33708_210512,Series003,1.3.10.1024.1024,1024x1024,10,21.559374809265137,30.054373741149902,11.790801048278809,12.884970664978027,0.9150817145689571
Ino80,33708,210512,Ino80_33708_210512,Series004,1.3.10.1024.1024,1024x1024,10,21.581480026245117,28.63972282409668,10.488373756408691,12.987730026245117,0.8075601922132797
Ino80,33708,210512,Ino80_33708_210512,Series005,1.3.10.1024.1024,1024x1024,10,41.86022472381592,45.85256385803223,22.016669273376465,19.39341449737549,1.1352652353383146
kis,34908,210512,kis_34908_210512,Series001,1.3.10.1024.1024,1024x1024,10,26.7149715423584,18.01877212524414,6.816640853881836,7.500657081604004,0.9088058259056029
kis,34908,210512,kis_34908_210512,Series002,1.3.10.1024.1024,1024x1024,10,30.142784118652344,16.71658229827881,6.4687042236328125,7.392274856567383,0.8750627309110321
kis,34908,210512,kis_34908_210512,Series003,1.3.10.1024.1024,1024x1024,10,24.976417541503906,18.390073776245117,6.837245941162109,7.506474494934082,0.9108464893574717
kis,34908,210512,kis_34908_210512,Series004,1.3.10.1024.1024,1024x1024,10,32.12406826019287,27.34743881225586,10.123933792114258,11.774558067321777,0.8598143330925907
kis,34908,210512,kis_34908_210512,Series005,1.3.10.1024.1024,1024x1024,10,31.601892471313477,25.042367935180664,9.05753231048584,10.997883796691895,0.8235704684577863
Chd1,34665,210512,Chd1_34665_210512,Series001,1.3.10.1024.1024,1024x1024,10,34.066293716430664,41.92975330352783,17.871241569519043,18.986785888671875,0.9412462790862143
